url,title,resource,status,type,link_text
"https://www.eurojust.europa.eu/news/criminal-network-manufactured-narco-boats-smuggle-drugs-dismantled","Criminal-network-that-manufactured-narco-boats-to-smuggle-drugs-dismantled","https://www.eurojust.europa.eu/sites/default/files/assets/magnet-ej-pt-es.png","404",image,""
"https://www.eurojust.europa.eu/news/intellectual-property-rights-and-network-against-organised-crime-main-themes-eu-prosecutors-general-forum","Intellectual-property-rights-and-network-against-organised-crime-main-themes-for-EU-Prosecutors-General-at-18th-Forum","https://www.eurojust.europa.eu/sites/default/files/assets/20241017-conforum-opening-sm-15.jpg","404",image,""
"https://www.eurojust.europa.eu/news/eurojust-assists-taking-down-drug-trafficking-ring-involved-killing-rivals-greece","Eurojust-assists-with-taking-down-of-drug-trafficking-ring-involved-in-killing-of-rivals-in-Greece","https://www.eurojust.europa.eu/sites/default/files/assets/magnet-gr-srb-es-europol.png","404",image,""
"https://www.eurojust.europa.eu/news/eu-lisa-and-eurojust-consolidate-their-cooperation-justice-domain","eu-LISA-and-Eurojust-consolidate-their-cooperation-in-the-justice-domain","https://www.eulisa.europa.eu/PartnersStakeholders/Documents/MoU_Eurojust_eu-LISA.pdf","Error: unable to verify the first certificate",pdf,"Memorandum-of-Understanding"
"https://www.eurojust.europa.eu/news/eu-lisa-and-eurojust-consolidate-their-cooperation-justice-domain","eu-LISA-and-Eurojust-consolidate-their-cooperation-in-the-justice-domain","https://www.eulisa.europa.eu/PartnersStakeholders/Documents/CP_Eurojust-eu-LISA.pdf","Error: unable to verify the first certificate",pdf,"Cooperation-Plan-2021-2023"
"https://www.eurojust.europa.eu/news/slovak-and-belgian-authorities-agree-cooperate-investigation-chovanec-case","Slovak-and-Belgian-authorities-agree-to-cooperate-in-investigation-of-Chovanec-case","https://www.eurojust.europa.eu/sites/default/files/styles/content_image/public/2020-09/2020-09-30-slovak-be%20magnet.png?itok=L1TiCPGF","404",image,""
"https://www.eurojust.europa.eu/news/eurojust-joins-eu-victims-rights-platform","Eurojust-joins-the-EU-Victims-Rights-Platform","https://www.eurojust.europa.eu/sites/default/files/styles/content_image/public/2020-09/2020-09-22_KMeyer-Cabri-at-EU-conference-on-victims-rights.jpeg?itok=cWve8XD1","404",image,""
"https://www.eurojust.europa.eu/news/romania-and-uk-judicial-authorities-jointly-dismantle-loverboy-criminal-network-specialized","Romania-and-UK-judicial-authorities-jointly-dismantle-loverboy-criminal-network-specialized-in-trafficking-and-sexually-exploiting-young-girls","https://www.eurojust.europa.eu/sites/default/files/styles/content_image/public/2020-09/_2020-09-18-EJmagnet-RO-UK.png?itok=0m8ih4iP","404",image,""
"https://www.eurojust.europa.eu/news/joint-investigation-team-leads-dismantling-one-europes-most-active-albanian-speaking-networks","Joint-investigation-team-leads-to-dismantling-of-one-of-Europe-s-most-active-Albanian-speaking-networks-trafficking-cocaine-into-Europe","https://www.eurojust.europa.eu/sites/default/files/styles/content_image/public/2020-09/_2020-09-17-EJ-magnet-EPol-IT-NL-EL-HU-RO-DE-ES-UK-AL-Dubai.png?itok=JvpYRBJk","404",image,""
"https://www.eurojust.europa.eu/news/eurojust-steps-fight-against-migrant-smuggling","Eurojust-steps-up-the-fight-against-migrant-smuggling","https://www.consilium.europa.eu/media/30232/qc0114638enn.pdf","403",pdf,"EU-policy-cycle-to-fight-serious-organised-crime-EMPACT-"
"https://www.eurojust.europa.eu/news/first-europoleurojust-report-encryption-observatory-function","First-Europol-Eurojust-report-on-encryption-observatory-function","https://ec.europa.eu/home-affairs/sites/homeaffairs/files/what-we-do/policies/european-agenda-security/20171018_eleventh_progress_report_towards_an_effective_and_genuine_security_union_en.pdf","404",pdf,"11th-progress-report-towards-an-effective-and-genuine-Security-Union"
"https://www.eurojust.europa.eu/news/new-liaison-prosecutor-montenegro-eurojust","New-Liaison-Prosecutor-for-Montenegro-at-Eurojust","https://www.eurojust.europa.eu/sites/default/files/2018-01/2018-01-17_LP-Montenegro.jpg","404",image,""
"https://www.eurojust.europa.eu/publication/joint-statement-diversity-and-inclusion","Joint-Statement-on-diversity-and-inclusion","https://www.eurojust.europa.eu/sites/default/files/Publications/JHA-Joint-Statement-Diversity-2019_EN.pdf","404",pdf,"DOWNLOAD-"
"https://www.eurojust.europa.eu/publication/joint-statement-occasion-10th-anniversary-charter-fundamental-rights-european-union","Joint-Statement-on-the-occasion-of-the-10th-Anniversary-of-the-Charter-of-Fundamental-Rights-of-the-European-Union","https://www.eurojust.europa.eu/sites/default/files/Publications/JHA-Joint-Statement-CFR10-2019_EN.pdf","404",pdf,"DOWNLOAD-"
"https://www.eurojust.europa.eu/publication/country-profile-finland","Country-profile-for-Finland","https://www.eurojust.europa.eu/sites/default/files/Publications/Country-profile_Finland_2019-07_EN.pdf","404",pdf,"DOWNLOAD-"
"https://www.eurojust.europa.eu/publication/ejcn-statement","EJCN-statement","https://www.eurojust.europa.eu/sites/default/files/Press/2018-05-25_EJCN-statement_EN.pdf","404",pdf,"DOWNLOAD-"
"https://www.eurojust.europa.eu/publication/terrorism-convictions-monitor-20","Terrorism-Convictions-Monitor-20","https://www.eurojust.europa.eu/sites/default/files/Publications/Reports/2015-02_TCM-20_EN.pdf","404",pdf,"DOWNLOAD-"
"https://www.eurojust.europa.eu/publication/strategic-guidelines-actions-contribution-jha-agencies-practical-development-area","From-strategic-guidelines-to-actions-the-contribution-of-the-JHA-Agencies-to-the-practical-development-of-the-area-of-freedom-security-and-justice-in-the-EU","https://www.eurojust.europa.eu/sites/default/files/Publications/2014%2520JHA%2520Agencies%2520Joint%2520Statement.pdf","404",pdf,"DOWNLOAD-"
"https://www.eurojust.europa.eu/publication/eurojust-news-issue-10","Eurojust-News-Issue-10","https://www.eurojust.europa.eu/sites/default/files/Publications/EJNews/EurojustNews_Issue10_2013-12-EN.pdf","404",pdf,"DOWNLOAD-"
"https://www.eurojust.europa.eu/publication/eurojust-news-issue-9","Eurojust-News-Issue-9","https://www.eurojust.europa.eu/sites/default/files/Publications/EJNews/EurojustNews_Issue9_2013-06-EN.pdf","404",pdf,"DOWNLOAD-"
"https://www.eurojust.europa.eu/publication/advancing-principle-complementarity-european-commission-report-january-2013","Advancing-the-principle-of-complementarity-European-Commission-report-January-2013-","https://www.eurojust.europa.eu/sites/default/files/Partners/Genocide/2013_EuropeanCommission_Advancing-principle-of-complementarity_EN.pdf","404",pdf,"DOWNLOAD-"
"https://www.eurojust.europa.eu/about-us/jobs/working-eurojust","Working-at-Eurojust","https://myintracomm.ec.europa.eu/staff/Documents/talent-management/recruitment/GIPS-2017-EN.pdf","204",pdf,"https-myintracomm-ec-europa-eu-staff-Documents-talent-management-recruitment-GIPS-2017-EN-pdf"
"https://www.eurojust.europa.eu/eurojust-and-the-war-in-ukraine","Eurojust-and-the-war-in-Ukraine","https://www.moj.go.jp/content/001400069.pdf","403",pdf,"reconfirm"
"https://www.eurojust.europa.eu/eurojust-and-the-war-in-ukraine","Eurojust-and-the-war-in-Ukraine","https://www.g7germany.de/resource/blob/975226/2146320/9fa789969d6867986ed9c010ba9fa3e9/2022-11-29-berliner-erklaerung-eng-data.pdf?download=1","404",pdf,"Berlin-Declaration"
"https://www.eurojust.europa.eu/states-and-partners/eu-partners/euipo","EUIPO","https://www.eurojust.europa.eu/sites/default/files/assets/euipo-logo.png","404",image,""
"https://www.eurojust.europa.eu/states-and-partners/eu-partners/jha-agencies-network","JHA-agencies-network","https://www.eurojust.europa.eu/sites/default/files/assets/jha-agencies-eu-0.jpg","404",image,""
"https://www.eurojust.europa.eu/joint-note-eurojust-and-ejn-practical-application-european-investigation-order-doc","Joint-Note-of-Eurojust-and-the-EJN-on-the-practical-application-of-the-European-Investigation-Order","https://www.eurojust.europa.eu/sites/default/files/Publications/Reports/2019-06-Joint_Note_EJ-EJN_practical_application_EIO_BG.pdf","404",pdf,"-Download-"
